"Candidate.id","Candidate","Election_Status","Status_of_Candidate","Specific_Party","General_Party","Office_Sought","Num_of_Records","Total_dollar"
209254,"CLINE, MARTIN","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","SENATE DISTRICT 027",0,0
209256,"FORSMAN, JUSTIN M","Lost-Top Two Primary","Lost","INDEPENDENT","Third-Party","SENATE DISTRICT 049",0,0
209260,"HENDERSON, VAUGHN GREGOR","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","SENATE DISTRICT 049",0,0
209269,"MILLER, DANIEL R","Lost-General","Lost","REPUBLICAN","Republican","SENATE DISTRICT 040",0,0
209280,"PRICE, DENNIS","Lost-General","Lost","LIBERTARIAN","Third-Party","SENATE DISTRICT 011",0,0
209299,"BLAIR, JOHN PATTERSON","Lost-Top Two Primary","Lost","NONPARTISAN","Nonpartisan","SUPERINTENDENT OF PUBLIC INSTRUCTION",0,0
209303,"MAKSIRISOMBAT, KUMROON (MR MAK)","Lost-Top Two Primary","Lost","NONPARTISAN","Nonpartisan","SUPERINTENDENT OF PUBLIC INSTRUCTION",0,0
209304,"PROUTY, GRAZYNA","Lost-Top Two Primary","Lost","NONPARTISAN","Nonpartisan","SUPERINTENDENT OF PUBLIC INSTRUCTION",0,0
209311,"SCANNELL, JOHN (ZAMBONI)","Lost-Top Two Primary","Lost","NONPARTISAN","Nonpartisan","SUPREME COURT-005",0,0
209320,"ARNOLD, KEITH","Lost-Top Two Primary","Lost","INDEPENDENT","Third-Party","US HOUSE DISTRICT WA 008",0,0
209321,"ARTHUR, KATHLEEN (GRANDMA WARRIOR)","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 003",0,0
209325,"BOYCE, RICHARD","Lost-Top Two Primary","Lost","NO PARTY PREFERENCE","Third-Party","US HOUSE DISTRICT WA 010",0,0
209326,"BRODHEAD, STEPHAN ANDREW","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","US HOUSE DISTRICT WA 006",0,0
209327,"COOPER, CARL","Lost-Top Two Primary","Lost","NO PARTY PREFERENCE","Third-Party","US HOUSE DISTRICT WA 007",0,0
209332,"FLENER, JEARY","Lost-Top Two Primary","Lost","NO PARTY PREFERENCE","Third-Party","US HOUSE DISTRICT WA 009",0,0
209334,"HENNEMANN, MARC","Lost-General","Lost","REPUBLICAN","Republican","US HOUSE DISTRICT WA 002",0,0
209336,"ILONUMMI, KARI","Lost-Top Two Primary","Lost","NO PARTY PREFERENCE","Third-Party","US HOUSE DISTRICT WA 002",0,0
209337,"JAKEMAN, GLENN M","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","US HOUSE DISTRICT WA 004",0,0
209339,"JHAVERI, ARUN","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 007",0,0
209342,"LAPOINTE, MIKE","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 002",0,0
209344,"LUKE, BRIAN","Lost-Top Two Primary","Lost","LIBERTARIAN","Third-Party","US HOUSE DISTRICT WA 002",0,0
209345,"MALAN, JOHN (THE MAN)","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 004",0,0
209349,"MCGEE, KRYSTOL","Lost-Top Two Primary","Lost","LIBERTARIAN","Third-Party","US HOUSE DISTRICT WA 005",0,0
209350,"MCKINLEY, DOUG","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 004",0,0
209353,"NUCHIMS, PAUL L","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 006",0,0
209354,"ORLINSKI, JOHN","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","US HOUSE DISTRICT WA 001",0,0
209356,"POSTMA, JIM","Lost-General","Lost","REPUBLICAN","Republican","US HOUSE DISTRICT WA 010",0,0
209358,"REGIER, LESLIE","Lost-Top Two Primary","Lost","NO PARTY PREFERENCE","Third-Party","US HOUSE DISTRICT WA 007",0,0
209364,"SMITH, DANIEL","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 009",0,0
209365,"STAFNE, SCOTT","Lost-Top Two Primary","Lost","LIBERTARIAN","Third-Party","US HOUSE DISTRICT WA 001",0,0
209366,"STORMS, ALEX","Lost-Top Two Primary","Lost","INDEPENDENT","Third-Party","US HOUSE DISTRICT WA 001",0,0
209368,"SUTHERLAND, SCOTT","Lost-Top Two Primary","Lost","REPUBLICAN","Republican","US HOUSE DISTRICT WA 007",0,0
209369,"VEGA, TYLER MYLES","Lost-Top Two Primary","Lost","GREEN","Third-Party","US HOUSE DISTRICT WA 006",0,0
209372,"WALSH, MARGARET M","Lost-Top Two Primary","Lost","WE R INDEPENDENT","Third-Party","US HOUSE DISTRICT WA 008",0,0
209375,"WORTHINGTON, LA (WORTHY)","Lost-Top Two Primary","Lost","NO PARTY PREFERENCE","Third-Party","US HOUSE DISTRICT WA 003",0,0
213401,"BENSON, MATTHEW","Lost-General","Lost","REPUBLICAN","Republican","HOUSE DISTRICT 034-POSITION 1",0,0
213402,"SMILANICH, TAMRA","Lost-General","Lost","NO PARTY AFFILIATION","Third-Party","HOUSE DISTRICT 037-POSITION 2",0,0
213403,"JORDAN, ANGEL","Lost-Top Two Primary","Lost","LIBERTARIAN","Third-Party","HOUSE DISTRICT 041-POSITION 2",0,0
213404,"POPP SR, WILLIAM","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","HOUSE DISTRICT 041-POSITION 2",0,0
